AUTOGLOSS REVIEW FILE
========================================================================
Review these auto-generated glosses. Mark any that seem wrong.
Glosses are composed from atom root concepts joined by '-'.

Middle          Count  Confidence  Autogloss                            Existing                 
tchor               1  WEAK        transfer-adjust-watch-work-input     ---                      
ear                 1  WEAK        cool-yield-input                     ---                      
kchedar             1  WEAK        heat-adjust-watch-cool-mark-yield-input  ---                      
eoko                1  WEAK        cool-work-heat-work                  ---                      
eeorf               1  WEAK        cool-cool-work-input-flag            ---                      
aiiik               1  LOCKED      yield-iterate-iterate-iterate-heat   ---                      
teda                1  SOLID       transfer-cool-mark-yield             ---                      
akai                1  LOCKED      yield-heat-yield-iterate             ---                      
eorsho              1  WEAK        cool-work-input-sequence-watch-work  ---                      
eodalo              1  WEAK        cool-work-mark-yield-frame-work      ---                      
oteeo               1  WEAK        work-transfer-cool-cool-work         ---                      
dalkai              1  WEAK        mark-yield-frame-heat-yield-iterate  ---                      
opaiir              1  WEAK        work-pause-yield-iterate-iterate-input  ---                      
amc                 1  PLAUSIBLE   yield-final-adjust                   ---                      
eokc                1  WEAK        cool-work-heat-adjust                ---                      
eoto                1  WEAK        cool-work-transfer-work              ---                      
raro                1  WEAK        input-yield-input-work               ---                      
eolsho              1  WEAK        cool-work-frame-sequence-watch-work  ---                      
olkai               1  WEAK        work-frame-heat-yield-iterate        ---                      
odalo               1  WEAK        work-mark-yield-frame-work           ---                      
eolchd              1  WEAK        cool-work-frame-adjust-watch-mark    ---                      
dykai               1  SOLID       mark-end-heat-yield-iterate          ---                      
oinysarx            1  WEAK        work-iterate-halt-end-sequence-yield-input-diagram  ---                      
toko                1  WEAK        transfer-work-heat-work              ---                      
dyc                 1  PLAUSIBLE   mark-end-adjust                      ---                      
pyoa                1  WEAK        pause-end-work-yield                 ---                      
kchk                1  PLAUSIBLE   heat-adjust-watch-heat               ---                      
irai                1  WEAK        iterate-input-yield-iterate          ---                      
pych                1  PLAUSIBLE   pause-end-adjust-watch               ---                      
eesod               1  WEAK        cool-cool-sequence-work-mark         ---                      
okcho               1  WEAK        work-heat-adjust-watch-work          ---                      
irolc               1  WEAK        iterate-input-work-frame-adjust      ---                      
dykch               1  PLAUSIBLE   mark-end-heat-adjust-watch           ---                      
lchl                1  WEAK        frame-adjust-watch-frame             ---                      
lshos               1  WEAK        frame-sequence-watch-work-sequence   ---                      
alos                1  WEAK        yield-frame-work-sequence            ---                      
ilch                1  WEAK        iterate-frame-adjust-watch           ---                      
aiisod              1  WEAK        yield-iterate-iterate-sequence-work-mark  ---                      
aiiikh              1  LOCKED      yield-iterate-iterate-iterate-heat-watch  ---                      
opaic               1  WEAK        work-pause-yield-iterate-adjust      ---                      
lda                 1  WEAK        frame-mark-yield                     ---                      
paic                1  PLAUSIBLE   pause-yield-iterate-adjust           ---                      
koki                1  WEAK        heat-work-heat-iterate               ---                      
faiir               1  WEAK        flag-yield-iterate-iterate-input     ---                      
raitht              1  WEAK        input-yield-iterate-transfer-watch-transfer  ---                      
alkc                1  WEAK        yield-frame-heat-adjust              ---                      
dck                 1  PLAUSIBLE   mark-adjust-heat                     ---                      
lcheolk             1  WEAK        frame-adjust-watch-cool-work-frame-heat  ---                      
pchcf               1  PLAUSIBLE   pause-adjust-watch-adjust-flag       ---                      
ockheo              1  WEAK        work-adjust-heat-watch-cool-work     ---                      
aiira               1  WEAK        yield-iterate-iterate-input-yield    ---                      
akaiik              1  LOCKED      yield-heat-yield-iterate-iterate-heat  ---                      
raikc               1  WEAK        input-yield-iterate-heat-adjust      ---                      
lkee                1  WEAK        frame-heat-cool-cool                 ---                      
tysh                1  PLAUSIBLE   transfer-end-sequence-watch          ---                      
dyai                1  SOLID       mark-end-yield-iterate               ---                      
kaiii               1  LOCKED      heat-yield-iterate-iterate-iterate   ---                      
eoka                1  WEAK        cool-work-heat-yield                 ---                      
iech                1  PLAUSIBLE   iterate-cool-adjust-watch            ---                      
eeolkch             1  WEAK        cool-cool-work-frame-heat-adjust-watch  ---                      
pchet               1  PLAUSIBLE   pause-adjust-watch-cool-transfer     ---                      
dasihx              1  PLAUSIBLE   mark-yield-sequence-iterate-watch-diagram  ---                      
opas                1  WEAK        work-pause-yield-sequence            ---                      
ockhed              1  WEAK        work-adjust-heat-watch-cool-mark     ---                      
oked                1  WEAK        work-heat-cool-mark                  ---                      
okeed               1  WEAK        work-heat-cool-cool-mark             ---                      
alod                1  WEAK        yield-frame-work-mark                ---                      
dii                 1  SOLID       mark-iterate-iterate                 ---                      
alke                1  WEAK        yield-frame-heat-cool                ---                      
pycho               1  WEAK        pause-end-adjust-watch-work          ---                      
eykeeed             1  SOLID       cool-end-heat-cool-cool-cool-mark    ---                      
oolal               1  WEAK        work-work-frame-yield-frame          ---                      
edalk               1  WEAK        cool-mark-yield-frame-heat           ---                      
loet                1  WEAK        frame-work-cool-transfer             ---                      
darx                1  WEAK        mark-yield-input-diagram             ---                      
edeed               1  SOLID       cool-mark-cool-cool-mark             ---                      
leed                1  WEAK        frame-cool-cool-mark                 ---                      
keeed               1  SOLID       heat-cool-cool-cool-mark             ---                      
opshol              1  WEAK        work-pause-sequence-watch-work-frame  ---                      
ofaramot            1  WEAK        work-flag-yield-input-yield-final-work-transfer  ---                      
lkeed               1  WEAK        frame-heat-cool-cool-mark            ---                      
eykech              1  PLAUSIBLE   cool-end-heat-cool-adjust-watch      ---                      
llod                1  WEAK        frame-frame-work-mark                ---                      
ekeek               1  LOCKED      cool-heat-cool-cool-heat             ---                      
ldy                 1  WEAK        frame-mark-end                       ---                      
ror                 1  WEAK        input-work-input                     ---                      
eear                1  WEAK        cool-cool-yield-input                ---                      
keeolch             1  WEAK        heat-cool-cool-work-frame-adjust-watch  ---                      
olchd               1  WEAK        work-frame-adjust-watch-mark         ---                      
aiip                1  PLAUSIBLE   yield-iterate-iterate-pause          ---                      
etals               1  WEAK        cool-transfer-yield-frame-sequence   ---                      
keea                1  LOCKED      heat-cool-cool-yield                 ---                      
eeks                1  PLAUSIBLE   cool-cool-heat-sequence              ---                      
re                  1  WEAK        input-cool                           ---                      
eolai               1  WEAK        cool-work-frame-yield-iterate        ---                      
eodo                1  WEAK        cool-work-mark-work                  ---                      
kyde                1  SOLID       heat-end-mark-cool                   ---                      
eoty                1  WEAK        cool-work-transfer-end               ---                      
rk                  1  WEAK        input-heat                           ---                      
eeot                1  WEAK        cool-cool-work-transfer              ---                      
olkee               1  WEAK        work-frame-heat-cool-cool            ---                      
edlk                1  WEAK        cool-mark-frame-heat                 ---                      
eam                 1  LOCKED      cool-yield-final                     ---                      
keok                1  WEAK        heat-cool-work-heat                  ---                      
eeolk               1  WEAK        cool-cool-work-frame-heat            ---                      
edyteok             1  WEAK        cool-mark-end-transfer-cool-work-heat  ---                      
olked               1  WEAK        work-frame-heat-cool-mark            ---                      
keeok               1  WEAK        heat-cool-cool-work-heat             ---                      
lkeeo               1  WEAK        frame-heat-cool-cool-work            ---                      
ih                  1  LOCKED      iterate-watch                        ---                      
opcheodai           1  WEAK        work-pause-adjust-watch-cool-work-mark-yield-iterate  ---                      
okedai              1  WEAK        work-heat-cool-mark-yield-iterate    ---                      
olsh                1  WEAK        work-frame-sequence-watch            ---                      
edait               1  SOLID       cool-mark-yield-iterate-transfer     ---                      
eea                 1  LOCKED      cool-cool-yield                      ---                      
amd                 1  SOLID       yield-final-mark                     ---                      
lan                 1  WEAK        frame-yield-halt                     ---                      
eain                1  LOCKED      cool-yield-iterate-halt              ---                      
arsh                1  WEAK        yield-input-sequence-watch           ---                      
pchai               1  PLAUSIBLE   pause-adjust-watch-yield-iterate     ---                      
akch                1  PLAUSIBLE   yield-heat-adjust-watch              ---                      
loeee               1  WEAK        frame-work-cool-cool-cool            ---                      
ody                 1  WEAK        work-mark-end                        ---                      
oty                 1  WEAK        work-transfer-end                    ---                      
opom                1  WEAK        work-pause-work-final                ---                      
amchd               1  PLAUSIBLE   yield-final-adjust-watch-mark        ---                      
ic                  1  PLAUSIBLE   iterate-adjust                       ---                      
iri                 1  WEAK        iterate-input-iterate                ---                      
ych                 1  PLAUSIBLE   end-adjust-watch                     ---                      
rain                1  WEAK        input-yield-iterate-halt             ---                      
og                  1  WEAK        work-complete                        ---                      
aryteop             1  WEAK        yield-input-end-transfer-cool-work-pause  ---                      
kaeke               1  LOCKED      heat-yield-cool-heat-cool            ---                      
aeech               1  PLAUSIBLE   yield-cool-cool-adjust-watch         ---                      
alai                1  WEAK        yield-frame-yield-iterate            ---                      
eaik                1  LOCKED      cool-yield-iterate-heat              ---                      
oeeek               1  WEAK        work-cool-cool-cool-heat             ---                      
oees                1  WEAK        work-cool-cool-sequence              ---                      
eei                 1  LOCKED      cool-cool-iterate                    ---                      
eeedeed             1  SOLID       cool-cool-cool-mark-cool-cool-mark   ---                      
teos                1  WEAK        transfer-cool-work-sequence          ---                      
opcheeo             1  WEAK        work-pause-adjust-watch-cool-cool-work  ---                      
raif                1  WEAK        input-yield-iterate-flag             ---                      
odaro               1  WEAK        work-mark-yield-input-work           ---                      
opcheed             1  WEAK        work-pause-adjust-watch-cool-cool-mark  ---                      
cthd                1  PLAUSIBLE   adjust-transfer-watch-mark           ---                      
otshe               1  WEAK        work-transfer-sequence-watch-cool    ---                      
ooee                1  WEAK        work-work-cool-cool                  ---                      
fam                 1  PLAUSIBLE   flag-yield-final                     ---                      
opalch              1  WEAK        work-pause-yield-frame-adjust-watch  ---                      
md                  1  SOLID       final-mark                           ---                      
esfc                1  PLAUSIBLE   cool-sequence-flag-adjust            ---                      
eeos                1  WEAK        cool-cool-work-sequence              ---                      
liir                1  WEAK        frame-iterate-iterate-input          ---                      
kcheo               1  WEAK        heat-adjust-watch-cool-work          ---                      
yh                  1  LOCKED      end-watch                            ---                      
rl                  1  WEAK        input-frame                          ---                      
cphoit              1  WEAK        adjust-pause-watch-work-iterate-transfer  ---                      
ckhy                1  PLAUSIBLE   adjust-heat-watch-end                ---                      
eoes                1  WEAK        cool-work-cool-sequence              ---                      
pcho                1  WEAK        pause-adjust-watch-work              ---                      
pchsh               1  PLAUSIBLE   pause-adjust-watch-sequence-watch    ---                      
yr                  1  WEAK        end-input                            ---                      
akc                 1  PLAUSIBLE   yield-heat-adjust                    ---                      
fshe                1  PLAUSIBLE   flag-sequence-watch-cool             ---                      
po                  1  WEAK        pause-work                           ---                      
harad               1  WEAK        watch-yield-input-yield-mark         ---                      
olkeec              1  WEAK        work-frame-heat-cool-cool-adjust     ---                      
cseeod              1  WEAK        adjust-sequence-cool-cool-work-mark  ---                      
odairo              1  WEAK        work-mark-yield-iterate-input-work   ---                      
oarors              1  WEAK        work-yield-input-work-input-sequence  ---                      
eolkc               1  WEAK        cool-work-frame-heat-adjust          ---                      
loa                 1  WEAK        frame-work-yield                     ---                      
orar                1  WEAK        work-input-yield-input               ---                      
keedo               1  WEAK        heat-cool-cool-mark-work             ---                      
eykeeo              1  WEAK        cool-end-heat-cool-cool-work         ---                      
samok               1  WEAK        sequence-yield-final-work-heat       ---                      
eolc                1  WEAK        cool-work-frame-adjust               ---                      
eodoiid             1  WEAK        cool-work-mark-work-iterate-iterate-mark  ---                      
eala                1  WEAK        cool-yield-frame-yield               ---                      
otai                1  WEAK        work-transfer-yield-iterate          ---                      
pychd               1  PLAUSIBLE   pause-end-adjust-watch-mark          ---                      
alched              1  WEAK        yield-frame-adjust-watch-cool-mark   ---                      
pkcheo              1  WEAK        pause-heat-adjust-watch-cool-work    ---                      
aithch              1  PLAUSIBLE   yield-iterate-transfer-watch-adjust-watch  ---                      
okai                1  WEAK        work-heat-yield-iterate              ---                      
osih                1  WEAK        work-sequence-iterate-watch          ---                      
oph                 1  WEAK        work-pause-watch                     ---                      
lsais               1  WEAK        frame-sequence-yield-iterate-sequence  ---                      
eypch               1  PLAUSIBLE   cool-end-pause-adjust-watch          ---                      
ofchedaii           1  WEAK        work-flag-adjust-watch-cool-mark-yield-iterate-iterate  ---                      
ocp                 1  WEAK        work-adjust-pause                    ---                      
dairod              1  WEAK        mark-yield-iterate-input-work-mark   ---                      
dod                 1  WEAK        mark-work-mark                       ---                      
edalo               1  WEAK        cool-mark-yield-frame-work           ---                      
opailo              1  WEAK        work-pause-yield-iterate-frame-work  ---                      
lpchd               1  WEAK        frame-pause-adjust-watch-mark        ---                      
opdairo             1  WEAK        work-pause-mark-yield-iterate-input-work  ---                      
opdaildo            1  WEAK        work-pause-mark-yield-iterate-frame-mark-work  ---                      
kolkch              1  WEAK        heat-work-frame-heat-adjust-watch    ---                      
octhd               1  WEAK        work-adjust-transfer-watch-mark      ---                      
eode                1  WEAK        cool-work-mark-cool                  ---                      
ild                 1  WEAK        iterate-frame-mark                   ---                      
pairo               1  WEAK        pause-yield-iterate-input-work       ---                      
pe                  1  PLAUSIBLE   pause-cool                           ---                      
dypd                1  PLAUSIBLE   mark-end-pause-mark                  ---                      
kairolch            1  WEAK        heat-yield-iterate-input-work-frame-adjust-watch  ---                      
rode                1  WEAK        input-work-mark-cool                 ---                      
pee                 1  PLAUSIBLE   pause-cool-cool                      ---                      
cphoc               1  WEAK        adjust-pause-watch-work-adjust       ---                      
edair               1  WEAK        cool-mark-yield-iterate-input        ---                      
oeai                1  WEAK        work-cool-yield-iterate              ---                      
keedai              1  SOLID       heat-cool-cool-mark-yield-iterate    ---                      
aiisa               1  PLAUSIBLE   yield-iterate-iterate-sequence-yield  ---                      
eede                1  SOLID       cool-cool-mark-cool                  ---                      
eeka                1  LOCKED      cool-cool-heat-yield                 ---                      
eoltched            1  WEAK        cool-work-frame-transfer-adjust-watch-cool-mark  ---                      
oedai               1  WEAK        work-cool-mark-yield-iterate         ---                      
odal                1  WEAK        work-mark-yield-frame                ---                      
dcheo               1  WEAK        mark-adjust-watch-cool-work          ---                      
ckhed               1  PLAUSIBLE   adjust-heat-watch-cool-mark          ---                      
epched              1  PLAUSIBLE   cool-pause-adjust-watch-cool-mark    ---                      
rkchek              1  WEAK        input-heat-adjust-watch-cool-heat    ---                      
oypsh               1  WEAK        work-end-pause-sequence-watch        ---                      
oshsod              1  WEAK        work-sequence-watch-sequence-work-mark  ---                      
edck                1  PLAUSIBLE   cool-mark-adjust-heat                ---                      
oy                  1  WEAK        work-end                             ---                      
eoeed               1  WEAK        cool-work-cool-cool-mark             ---                      
eopcheod            1  WEAK        cool-work-pause-adjust-watch-cool-work-mark  ---                      
osheeo              1  WEAK        work-sequence-watch-cool-cool-work   ---                      
ocpheo              1  WEAK        work-adjust-pause-watch-cool-work    ---                      
oc                  1  WEAK        work-adjust                          ---                      
leech               1  WEAK        frame-cool-cool-adjust-watch         ---                      
eokeo               1  WEAK        cool-work-heat-cool-work             ---                      
eopoltee            1  WEAK        cool-work-pause-work-frame-transfer-cool-cool  ---                      
oech                1  WEAK        work-cool-adjust-watch               ---                      
rdy                 1  WEAK        input-mark-end                       ---                      
eeeos               1  WEAK        cool-cool-cool-work-sequence         ---                      
tote                1  WEAK        transfer-work-transfer-cool          ---                      
oloro               1  WEAK        work-frame-work-input-work           ---                      
airorlc             1  WEAK        yield-iterate-input-work-input-frame-adjust  ---                      
cpholro             1  WEAK        adjust-pause-watch-work-frame-input-work  ---                      
cthed               1  PLAUSIBLE   adjust-transfer-watch-cool-mark      ---                      
tolchd              1  WEAK        transfer-work-frame-adjust-watch-mark  ---                      
eeedch              1  PLAUSIBLE   cool-cool-cool-mark-adjust-watch     ---                      
railch              1  WEAK        input-yield-iterate-frame-adjust-watch  ---                      
oeea                1  WEAK        work-cool-cool-yield                 ---                      
eoa                 1  WEAK        cool-work-yield                      ---                      
olkched             1  WEAK        work-frame-heat-adjust-watch-cool-mark  ---                      
lls                 1  WEAK        frame-frame-sequence                 ---                      
orochee             1  WEAK        work-input-work-adjust-watch-cool-cool  ---                      
dalk                1  WEAK        mark-yield-frame-heat                ---                      
pchedyd             1  PLAUSIBLE   pause-adjust-watch-cool-mark-end-mark  ---                      
kecheo              1  WEAK        heat-cool-adjust-watch-cool-work     ---                      
kair                1  WEAK        heat-yield-iterate-input             ---                      
paiino              1  WEAK        pause-yield-iterate-iterate-halt-work  ---                      
rs                  1  WEAK        input-sequence                       ---                      
tad                 1  SOLID       transfer-yield-mark                  ---                      
opol                1  WEAK        work-pause-work-frame                ---                      
eeocho              1  WEAK        cool-cool-work-adjust-watch-work     ---                      
eeok                1  WEAK        cool-cool-work-heat                  ---                      
talch               1  WEAK        transfer-yield-frame-adjust-watch    ---                      
oto                 1  WEAK        work-transfer-work                   ---                      
ros                 1  WEAK        input-work-sequence                  ---                      
teeotc              1  WEAK        transfer-cool-cool-work-transfer-adjust  ---                      
opchee              1  WEAK        work-pause-adjust-watch-cool-cool    ---                      
pcheod              1  WEAK        pause-adjust-watch-cool-work-mark    ---                      
keeeo               1  WEAK        heat-cool-cool-cool-work             ---                      
lra                 1  WEAK        frame-input-yield                    ---                      
iirch               1  WEAK        iterate-iterate-input-adjust-watch   ---                      
opchep              1  WEAK        work-pause-adjust-watch-cool-pause   ---                      
kaidarar            1  WEAK        heat-yield-iterate-mark-yield-input-yield-input  ---                      
aino                1  WEAK        yield-iterate-halt-work              ---                      
toeetc              1  WEAK        transfer-work-cool-cool-transfer-adjust  ---                      
oip                 1  WEAK        work-iterate-pause                   ---                      
pchy                1  PLAUSIBLE   pause-adjust-watch-end               ---                      
yai                 1  LOCKED      end-yield-iterate                    ---                      
dp                  1  PLAUSIBLE   mark-pause                           ---                      
osheek              1  WEAK        work-sequence-watch-cool-cool-heat   ---                      
ala                 1  WEAK        yield-frame-yield                    ---                      
oet                 1  WEAK        work-cool-transfer                   ---                      
aral                1  WEAK        yield-input-yield-frame              ---                      
rf                  1  WEAK        input-flag                           ---                      
tals                1  WEAK        transfer-yield-frame-sequence        ---                      
allar               1  WEAK        yield-frame-frame-yield-input        ---                      
yrsh                1  WEAK        end-input-sequence-watch             ---                      
eylc                1  WEAK        cool-end-frame-adjust                ---                      
syoke               1  WEAK        sequence-end-work-heat-cool          ---                      
edka                1  SOLID       cool-mark-heat-yield                 ---                      
